id,post_id,topic_id,post_number,created_at,updated_at,deleted_at,deleted_by
183885,106606,6072,53,2016-02-03 23:55:01 UTC,2016-02-03 23:55:01 UTC,,
183873,106658,6072,61,2016-02-03 23:54:46 UTC,2016-02-03 23:54:46 UTC,,
183876,106655,6072,60,2016-02-03 23:54:47 UTC,2016-02-03 23:54:47 UTC,,
183877,106654,6072,59,2016-02-03 23:54:48 UTC,2016-02-03 23:54:48 UTC,,
183879,106653,6072,58,2016-02-03 23:54:50 UTC,2016-02-03 23:54:50 UTC,,
185753,106998,6072,64,2016-02-04 17:35:39 UTC,2016-02-04 17:35:39 UTC,,
185786,107652,6072,73,2016-02-04 17:55:26 UTC,2016-02-04 17:55:26 UTC,,
185881,107717,6117,2,2016-02-04 19:20:53 UTC,2016-02-04 19:20:53 UTC,,
187348,108366,6137,1,2016-02-05 00:45:54 UTC,2016-02-05 00:45:54 UTC,,
187653,108591,6134,30,2016-02-05 01:35:49 UTC,2016-02-05 01:35:49 UTC,,
189082,109287,4755,215,2016-02-05 16:25:08 UTC,2016-02-05 16:25:08 UTC,,
189083,109267,4755,214,2016-02-05 16:25:11 UTC,2016-02-05 16:25:11 UTC,,
199576,114524,6312,454,2016-02-08 01:23:31 UTC,2016-02-08 01:23:31 UTC,,
199613,114561,6312,480,2016-02-08 01:30:29 UTC,2016-02-08 01:30:29 UTC,,
199584,114528,6312,458,2016-02-08 01:24:09 UTC,2016-02-08 01:24:09 UTC,,
199622,114574,6312,492,2016-02-08 01:32:13 UTC,2016-02-08 01:32:13 UTC,,
199636,114590,6312,508,2016-02-08 01:35:30 UTC,2016-02-08 01:35:30 UTC,,
199740,114684,6312,596,2016-02-08 01:47:44 UTC,2016-02-08 01:47:44 UTC,,
206935,115942,6389,15,2016-02-10 03:42:12 UTC,2016-02-10 03:42:12 UTC,,
264536,146664,7008,468,2016-02-23 04:01:32 UTC,2016-02-23 04:01:32 UTC,,
264477,146642,7008,457,2016-02-23 03:43:00 UTC,2016-02-23 03:43:00 UTC,,
264532,146653,7008,465,2016-02-23 04:01:13 UTC,2016-02-23 04:01:13 UTC,,
264533,146658,7008,466,2016-02-23 04:01:17 UTC,2016-02-23 04:01:17 UTC,,
265319,146698,7008,475,2016-02-23 14:28:30 UTC,2016-02-23 14:28:30 UTC,,
265320,146697,7008,474,2016-02-23 14:28:31 UTC,2016-02-23 14:28:31 UTC,,
269459,148525,7652,4,2016-02-24 14:40:50 UTC,2016-02-24 14:40:50 UTC,,
3618588,1446668,34438,517,2017-09-17 01:47:51 UTC,2017-09-17 01:47:51 UTC,,
298749,159873,8078,44,2016-03-01 14:24:15 UTC,2016-03-01 14:24:15 UTC,,
298752,162091,8140,51,2016-03-01 14:25:55 UTC,2016-03-01 14:25:55 UTC,,
2416363,969293,30562,2,2017-01-06 16:04:05 UTC,2017-01-06 16:04:05 UTC,,
2416364,969301,30562,3,2017-01-06 16:04:06 UTC,2017-01-06 16:04:06 UTC,,
2416365,969304,30562,4,2017-01-06 16:04:07 UTC,2017-01-06 16:04:07 UTC,,
332837,176309,3858,33,2016-03-08 14:33:23 UTC,2016-03-08 14:33:23 UTC,,
360138,193391,9532,3,2016-03-15 02:00:21 UTC,2016-03-15 02:00:21 UTC,,
360139,193385,9532,2,2016-03-15 02:00:22 UTC,2016-03-15 02:00:22 UTC,,
360148,193396,9532,5,2016-03-15 02:03:01 UTC,2016-03-15 02:03:01 UTC,,
360152,193399,9532,7,2016-03-15 02:03:12 UTC,2016-03-15 02:03:12 UTC,,
360154,193401,9532,9,2016-03-15 02:03:51 UTC,2016-03-15 02:03:51 UTC,,
360155,193400,9532,8,2016-03-15 02:03:52 UTC,2016-03-15 02:03:52 UTC,,
360200,193414,9532,14,2016-03-15 02:11:09 UTC,2016-03-15 02:11:09 UTC,,
360201,193407,9532,12,2016-03-15 02:11:13 UTC,2016-03-15 02:11:13 UTC,,
360202,193404,9532,10,2016-03-15 02:11:17 UTC,2016-03-15 02:11:17 UTC,,
365178,186014,6002,111,2016-03-16 14:16:45 UTC,2016-03-16 14:16:45 UTC,,
399445,205653,10010,47,2016-03-21 23:50:06 UTC,2016-03-21 23:50:06 UTC,,
404157,207198,10010,58,2016-03-22 22:23:55 UTC,2016-03-22 22:23:55 UTC,,
404158,207197,10010,57,2016-03-22 22:23:58 UTC,2016-03-22 22:23:58 UTC,,
404159,207196,10010,56,2016-03-22 22:24:03 UTC,2016-03-22 22:24:03 UTC,,
404173,207212,10010,60,2016-03-22 22:28:01 UTC,2016-03-22 22:28:01 UTC,,
404218,207231,10010,62,2016-03-22 22:36:08 UTC,2016-03-22 22:36:08 UTC,,
404219,207224,10010,61,2016-03-22 22:36:09 UTC,2016-03-22 22:36:09 UTC,,
404869,207300,10010,64,2016-03-23 00:07:55 UTC,2016-03-23 00:07:55 UTC,,
406518,207233,10010,63,2016-03-23 02:33:35 UTC,2016-03-23 02:33:35 UTC,,
408461,208536,9770,233,2016-03-23 14:03:36 UTC,2016-03-23 14:03:36 UTC,,
408703,208615,10196,15,2016-03-23 15:31:22 UTC,2016-03-23 15:31:22 UTC,,
