visited_at,posts_read,mobile,time_read
2019-01-19,98,false,710
2019-02-10,124,false,918
2019-02-13,187,false,2265
2019-02-14,128,false,1702
2019-02-15,50,false,784
2019-02-16,236,false,1727
2019-02-17,32,false,98
2019-02-21,33,false,169
2019-02-24,50,false,168
2019-02-26,38,false,274
2019-02-28,50,false,278
2019-03-02,25,false,61
2019-03-04,14,false,117
2019-03-05,464,false,3748
2019-03-06,578,false,6121
2019-03-07,677,false,6826
2019-03-08,10,false,47
2019-03-09,50,false,159
2019-03-10,49,false,137
2019-03-11,95,false,318
2019-03-12,16,false,84
2019-03-13,6,false,2
2019-03-14,209,false,1175
2019-03-16,243,false,1163
2019-03-17,79,false,410
2019-03-18,697,true,5970
2019-03-19,319,true,1399
2019-03-20,237,true,2226
2019-03-21,264,true,1676
2019-03-22,154,false,1786
2019-03-23,170,false,989
2019-03-24,32,false,62
2019-03-25,16,false,75
2019-03-26,3,false,53
2019-03-30,59,false,181
2019-03-31,97,false,298
2019-04-02,388,false,2462
2019-04-03,98,false,1713
2019-04-08,10,false,39
2019-04-15,228,false,1771
2019-04-16,425,false,2676
2019-04-17,295,false,2322
2019-04-18,621,false,4749
2019-04-19,169,false,994
2019-04-20,73,false,261
2019-04-22,34,false,65
2019-04-23,95,false,353
2019-04-24,620,false,5607
2019-04-25,611,false,5964
2019-04-26,423,false,2126
2019-04-29,6,false,0
2019-04-30,138,false,1183
2019-05-05,305,false,2646
2019-05-06,869,false,13288
2019-05-07,160,false,1951
2019-05-08,180,false,2195
2019-05-09,436,false,8762
2019-05-10,167,false,786
2019-05-11,222,false,3266
2019-05-12,375,false,2196
2019-05-13,12,false,644
2019-05-18,6,false,20
2019-05-19,26,false,58
2019-05-20,45,false,183
2019-05-21,22,false,248
2019-05-22,8,false,36
2019-05-23,34,false,300
2019-05-24,112,false,1659
2019-05-25,230,false,1488
2019-05-26,6,false,0
2019-05-27,115,false,268
2019-05-30,63,false,377
2019-05-31,24,false,124
2019-06-01,52,false,111
2019-06-04,26,false,88
2019-06-08,250,false,1046
2019-06-09,58,false,338
2019-06-13,467,false,3335
2019-06-14,504,false,6944
2019-06-19,98,false,350
2019-06-21,13,false,114
2019-07-13,33,false,57
2019-07-17,311,false,2186
2019-07-18,652,false,6267
2019-07-19,651,false,11866
2019-07-20,106,false,1896
2019-07-21,5,false,12
2019-07-22,346,false,3998
2019-07-23,272,false,1764
2019-07-24,414,false,5397
2019-07-25,718,false,6405
2019-07-26,217,false,4152
2019-07-27,217,false,1171
2019-07-28,147,false,703
2019-07-29,181,false,1569
2019-07-30,161,false,852
2019-07-31,176,false,1767
2019-08-01,82,false,303
2019-08-02,40,false,551
2019-08-05,73,false,160
2019-08-06,297,false,3563
2019-08-07,277,false,3037
2019-08-08,533,false,12912
2019-08-09,787,false,12628
2019-08-10,705,false,9190
2019-08-11,1253,false,2817
2019-08-12,1066,false,19740
